ID,left_qr_url,right_qr_code
TL-0001,https://truelink.et/TL-0001,778LM0
TL-0002,https://truelink.et/TL-0002,VCUSWS
TL-0003,https://truelink.et/TL-0003,JDV624
TL-0004,https://truelink.et/TL-0004,2W6H1F
TL-0005,https://truelink.et/TL-0005,C84WSC
TL-0006,https://truelink.et/TL-0006,B7CJXJ
TL-0007,https://truelink.et/TL-0007,AKFPTE
TL-0008,https://truelink.et/TL-0008,RLPNY4
TL-0009,https://truelink.et/TL-0009,TLNF7T
TL-0010,https://truelink.et/TL-0010,2K2LCQ
TL-0011,https://truelink.et/TL-0011,142PPA
TL-0012,https://truelink.et/TL-0012,XOG6C4
TL-0013,https://truelink.et/TL-0013,8VI1JJ
TL-0014,https://truelink.et/TL-0014,S3NQSY
TL-0015,https://truelink.et/TL-0015,5R8LWM
TL-0016,https://truelink.et/TL-0016,BC7BJ3
TL-0017,https://truelink.et/TL-0017,FD8DI2
TL-0018,https://truelink.et/TL-0018,X2JBNJ
TL-0019,https://truelink.et/TL-0019,RAGE5Y
TL-0020,https://truelink.et/TL-0020,RYH7U5
TL-0021,https://truelink.et/TL-0021,AWCE5G
TL-0022,https://truelink.et/TL-0022,TRYGJA
TL-0023,https://truelink.et/TL-0023,4S8GNN
TL-0024,https://truelink.et/TL-0024,X365N4
TL-0025,https://truelink.et/TL-0025,BZPZJW
TL-0026,https://truelink.et/TL-0026,50ZJYU
TL-0027,https://truelink.et/TL-0027,TJF6HX
TL-0028,https://truelink.et/TL-0028,NVNVH1
TL-0029,https://truelink.et/TL-0029,F5Z3V1
TL-0030,https://truelink.et/TL-0030,Y70SYF
TL-0031,https://truelink.et/TL-0031,67EKEK
TL-0032,https://truelink.et/TL-0032,5FHYLZ
TL-0033,https://truelink.et/TL-0033,4BEWTG
TL-0034,https://truelink.et/TL-0034,RH5TN1
TL-0035,https://truelink.et/TL-0035,T1BVF2
TL-0036,https://truelink.et/TL-0036,P5VT0G
TL-0037,https://truelink.et/TL-0037,VI1QYI
TL-0038,https://truelink.et/TL-0038,HJL2PW
TL-0039,https://truelink.et/TL-0039,91DDQH
TL-0040,https://truelink.et/TL-0040,RAPPPF
TL-0041,https://truelink.et/TL-0041,DKHEM0
TL-0042,https://truelink.et/TL-0042,HUJZV5
TL-0043,https://truelink.et/TL-0043,8KQPSV
TL-0044,https://truelink.et/TL-0044,B48QAI
TL-0045,https://truelink.et/TL-0045,21HSVL
TL-0046,https://truelink.et/TL-0046,9QI0PC
TL-0047,https://truelink.et/TL-0047,NVURS1
TL-0048,https://truelink.et/TL-0048,VFDH8B
TL-0049,https://truelink.et/TL-0049,4BSOHU
TL-0050,https://truelink.et/TL-0050,NXPL8A
TL-0051,https://truelink.et/TL-0051,BWI102
TL-0052,https://truelink.et/TL-0052,3VKBT7
TL-0053,https://truelink.et/TL-0053,YQIZDO
TL-0054,https://truelink.et/TL-0054,G4SMIE
TL-0055,https://truelink.et/TL-0055,TQIDSM
TL-0056,https://truelink.et/TL-0056,LXQ4E1
TL-0057,https://truelink.et/TL-0057,MVLQK1
TL-0058,https://truelink.et/TL-0058,OABM3Z
TL-0059,https://truelink.et/TL-0059,N9ECLL
TL-0060,https://truelink.et/TL-0060,VIN2DD
TL-0061,https://truelink.et/TL-0061,XBL3PF
TL-0062,https://truelink.et/TL-0062,5I7YXB
TL-0063,https://truelink.et/TL-0063,UTRBP3
TL-0064,https://truelink.et/TL-0064,YUBNDO
TL-0065,https://truelink.et/TL-0065,HK7HB6
TL-0066,https://truelink.et/TL-0066,K6ZT99
TL-0067,https://truelink.et/TL-0067,Q0ZIVV
TL-0068,https://truelink.et/TL-0068,HVI8W1
TL-0069,https://truelink.et/TL-0069,UOTMQO
TL-0070,https://truelink.et/TL-0070,1GTFPZ
TL-0071,https://truelink.et/TL-0071,Z87J2C
TL-0072,https://truelink.et/TL-0072,S7MNGC
TL-0073,https://truelink.et/TL-0073,4ZHDKT
TL-0074,https://truelink.et/TL-0074,8CPFKX
TL-0075,https://truelink.et/TL-0075,SG0YC5
TL-0076,https://truelink.et/TL-0076,E8NBJ3
TL-0077,https://truelink.et/TL-0077,11RXOC
TL-0078,https://truelink.et/TL-0078,Q3Z7I4
TL-0079,https://truelink.et/TL-0079,6OEBSO
TL-0080,https://truelink.et/TL-0080,OP13Z7
TL-0081,https://truelink.et/TL-0081,MM1J23
TL-0082,https://truelink.et/TL-0082,LY6YOT
TL-0083,https://truelink.et/TL-0083,TSHVLX
TL-0084,https://truelink.et/TL-0084,WAVRX5
TL-0085,https://truelink.et/TL-0085,CCG8XK
TL-0086,https://truelink.et/TL-0086,J4NWL0
TL-0087,https://truelink.et/TL-0087,HA74RO
TL-0088,https://truelink.et/TL-0088,O7MGIZ
